project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users
470,Generic,https://github.com/gnn06/gnn-react-googlephotosalbumselector.git,false,false,false,1,1,3886,14,,,,0,2,JavaScript,79566031,true,true,true,false,1568094329,1633399474,1645178126,"master","","http://gorsini.free.fr/google-album-selector/","Help to organize Google photos into albums",15,126,3,3,4
471,Generic,https://github.com/gokulnathp/f40-sm.git,false,false,false,0,0,5640,14,,,,0,1,JavaScript,68381078,true,true,true,false,1577687224,1593448930,1645207701,"master","","http://lms-f40.herokuapp.com/","This is one of the portal in our department project - Learning management system",15,20,3,3,4
472,Generic,https://github.com/goodyint/gavinpower.com.git,false,false,false,0,0,380531,12,,,,0,1,JavaScript,90263835,true,true,true,false,1566201928,1607531906,1644668975,"master","MIT License","","WebGL Project",13,149,2,2,3
473,Generic,https://github.com/googlearchive/code-prettify.git,false,true,false,5627,5627,16845,229,,,,954,204,JavaScript,427494074,true,false,false,false,1429727537,1645555077,1587487429,"master","Apache License 2.0","","An embeddable script that makes source-code snippets in HTML prettier.",3,475,33,21,34
474,Generic,https://github.com/googlechrome/web-vitals.git,false,false,false,4541,4541,1739,19,,,,197,79,JavaScript,57990596,true,true,true,false,1584988265,1645622124,1642731023,"main","Apache License 2.0","https://web.dev/vitals","Essential metrics for a healthy site.",2,197,15,12,16
475,Generic,https://github.com/googlechromelabs/carlo.git,false,false,false,9300,9300,431,58,,,,334,187,JavaScript,63083839,true,true,true,false,1540746920,1645499899,1618491568,"master","Apache License 2.0","","Web rendering surface for Node applications",3,162,24,4,26
476,Generic,https://github.com/goosey13/bitcore-broteq.git,false,false,false,0,0,33465,98,,,,0,1,JavaScript,271733458,true,true,true,false,1569107780,1569960791,1644701183,"master","MIT License","","",89,13309,205,188,208
477,Generic,https://github.com/grace-chopper/grace-chopper.git,false,false,false,0,0,4209,21,,,,1,2,JavaScript,157735922,true,true,true,false,1587487953,1595256485,1644741704,"master","MIT License","","",22,462,35,18,36
478,Generic,https://github.com/greaspace-beijing/fabric-samples.git,false,false,false,1,1,1684,15,,,,0,1,JavaScript,146805942,true,true,true,false,1583747828,1583977972,1644723667,"v1.4.6-mongodb","Apache License 2.0","","",16,369,94,76,100
479,Generic,https://github.com/green-fox-academy/x566chen.git,false,false,false,0,0,36739,124,,,,0,2,JavaScript,76615215,true,true,true,false,1568628979,1573697347,1645244850,"master","","","Cathy Chen",125,182,4,3,5
